pool,linkage_method,denoise,lookback_years,rebalance_frequency,drift_threshold,ann_return,ann_vol,sharpe_ratio,sortino_ratio,max_drawdown,ann_turnover,total_friction_costs,total_taxes,rebalance_events
european,ward,False,2,quarterly,0.03,0.023529241229772957,0.041140004899124304,0.5719309292127429,0.7952438231871929,-0.15946240692174485,0.9822101358742598,792.3565134438074,17976.033512728096,66
european,ward,False,2,semi-annually,0.0,0.02020731661317221,0.04016833838632228,0.5030657832750435,0.6972423826392656,-0.1523452726691716,0.8994146985816529,714.3605860603354,15404.888517830439,33
european,ward,False,2,semi-annually,0.015,0.020456529830500614,0.04055450129436649,0.5044206975205061,0.6968915494132868,-0.15147415171050338,0.8007814954907919,636.0211138723579,13603.393179376606,33
european,ward,False,2,semi-annually,0.03,0.021961160944566238,0.0409559315745924,0.5362144163310928,0.7388766605200968,-0.1472917131918976,0.7403374690142687,588.0134148146183,14028.32170444297,33
european,ward,False,3,monthly,0.0,0.021616462647904067,0.03957312476194499,0.5462409849598552,0.7491673898716846,-0.16620558542787361,1.5437325727416347,1180.6754118969902,17180.728998627215,185
european,ward,False,3,monthly,0.015,0.022597627885692084,0.03975141159240995,0.5684735957906669,0.7790364967023351,-0.16316908833003824,1.295491669811645,990.816147739584,16124.55183933666,184
european,ward,False,3,monthly,0.03,0.02326541633053747,0.040301036078829205,0.5772907744860478,0.7906656792179907,-0.1616593719882547,1.1240713655506915,859.7107076429452,14014.750977522925,181
european,ward,False,3,quarterly,0.0,0.02189350630780118,0.040984484114189125,0.534190115625281,0.7256315092682912,-0.16482291971652166,1.0088615458941512,763.4478611502899,16680.872380485373,62
european,ward,False,3,quarterly,0.015,0.021510099551057982,0.04110857430415452,0.5232509255103046,0.7110538943476652,-0.16231344826846258,0.856923377432811,648.469874120271,13992.135417732603,62
european,ward,False,3,quarterly,0.03,0.01898620636784587,0.04136202617753499,0.45902505564773016,0.6243778111525001,-0.17201618410327943,0.8126339410086066,614.9541993012426,13769.617137101652,62
european,ward,False,3,semi-annually,0.0,0.02411491353687434,0.041281704977907355,0.584154979785352,0.7965309446269421,-0.15623197872080027,0.8704505553197492,647.8630621866498,17772.038719982113,31
european,ward,False,3,semi-annually,0.015,0.02452165934345385,0.041104954885510414,0.5965621276499148,0.8165135463995046,-0.1555984246492851,0.7297068225133562,543.10965010337,14735.37673921742,31
